#,Date,Temp,Lux
160,5/13/2022 9:45,29.252,592
161,5/13/2022 10:00,29.252,796.5
162,5/13/2022 10:15,29.352,1001
163,5/13/2022 10:30,29.352,796.5
164,5/13/2022 10:45,29.352,904.2
165,5/13/2022 11:00,29.452,1377.8
166,5/13/2022 11:15,29.552,1636.1
167,5/13/2022 11:30,29.752,3788.9
168,5/13/2022 11:45,29.953,11711.2
169,5/13/2022 12:00,30.457,22044.6
170,5/13/2022 12:15,30.457,3272.2
171,5/13/2022 12:30,30.558,24800.2
172,5/13/2022 12:45,30.356,3272.2
173,5/13/2022 13:00,30.255,9644.5
174,5/13/2022 13:15,30.255,6200
175,5/13/2022 13:30,30.255,6544.5
176,5/13/2022 13:45,30.356,5166.7
177,5/13/2022 14:00,30.255,4822.3
178,5/13/2022 14:15,30.255,2669.5
179,5/13/2022 14:30,30.154,1808.3
180,5/13/2022 14:45,30.154,2755.6
181,5/13/2022 15:00,30.457,6200
182,5/13/2022 15:15,30.154,10677.8
183,5/13/2022 15:30,29.853,3100
184,5/13/2022 15:45,29.752,2066.7
185,5/13/2022 16:00,29.752,2152.8
186,5/13/2022 16:15,29.752,2669.5
187,5/13/2022 16:30,29.652,516.7
188,5/13/2022 16:45,29.752,3788.9
189,5/13/2022 17:00,29.652,1216.3
190,5/13/2022 17:15,29.652,839.6
191,5/13/2022 17:30,29.552,1463.9
192,5/13/2022 17:45,29.552,549
193,5/13/2022 18:00,29.452,204.5
194,5/13/2022 18:15,29.452,64.6
195,5/13/2022 18:30,29.352,10.8
196,5/13/2022 18:45,29.352,0
197,5/13/2022 19:00,29.252,0
198,5/13/2022 19:15,29.252,0
199,5/13/2022 19:30,29.252,0
200,5/13/2022 19:45,29.152,0
201,5/13/2022 20:00,29.152,0
202,5/13/2022 20:15,29.152,0
203,5/13/2022 20:30,29.152,0
204,5/13/2022 20:45,29.053,0
205,5/13/2022 21:00,29.053,0
206,5/13/2022 21:15,29.053,0
207,5/13/2022 21:30,29.053,0
208,5/13/2022 21:45,29.053,0
209,5/13/2022 22:00,29.053,0
210,5/13/2022 22:15,29.053,0
211,5/13/2022 22:30,29.053,0
212,5/13/2022 22:45,29.053,0
213,5/13/2022 23:00,29.053,0
214,5/13/2022 23:15,29.053,0
215,5/13/2022 23:30,28.953,0
216,5/13/2022 23:45,28.953,0
217,5/14/2022 0:00,28.953,0
218,5/14/2022 0:15,28.853,0
219,5/14/2022 0:30,28.853,0
220,5/14/2022 0:45,28.853,0
221,5/14/2022 1:00,28.853,0
222,5/14/2022 1:15,28.853,0
223,5/14/2022 1:30,28.853,0
224,5/14/2022 1:45,28.953,0
225,5/14/2022 2:00,28.953,0
226,5/14/2022 2:15,28.953,0
227,5/14/2022 2:30,28.953,0
228,5/14/2022 2:45,28.953,0
229,5/14/2022 3:00,28.953,0
230,5/14/2022 3:15,28.953,0
231,5/14/2022 3:30,28.853,0
232,5/14/2022 3:45,28.853,0
233,5/14/2022 4:00,28.953,0
234,5/14/2022 4:15,28.953,0
235,5/14/2022 4:30,28.953,0
236,5/14/2022 4:45,28.853,0
237,5/14/2022 5:00,28.853,0
238,5/14/2022 5:15,28.853,0
239,5/14/2022 5:30,28.853,0
240,5/14/2022 5:45,28.853,0
241,5/14/2022 6:00,28.853,10.8
242,5/14/2022 6:15,28.853,43.1
243,5/14/2022 6:30,28.853,64.6
244,5/14/2022 6:45,28.853,86.1
245,5/14/2022 7:00,28.853,96.9
246,5/14/2022 7:15,28.853,118.4
247,5/14/2022 7:30,28.953,150.7
248,5/14/2022 7:45,28.953,236.8
249,5/14/2022 8:00,29.053,269.1
250,5/14/2022 8:15,29.053,301.4
251,5/14/2022 8:30,29.053,333.7
252,5/14/2022 8:45,29.152,398.3
253,5/14/2022 9:00,29.152,818.1
254,5/14/2022 9:15,29.252,796.5
255,5/14/2022 9:30,29.252,731.9
256,5/14/2022 9:45,29.352,667.4
257,5/14/2022 10:00,29.352,1011.8
258,5/14/2022 10:15,29.452,904.2
259,5/14/2022 10:30,29.452,764.2
260,5/14/2022 10:45,29.552,893.4
261,5/14/2022 11:00,29.552,1463.9
262,5/14/2022 11:15,29.752,4994.5
263,5/14/2022 11:30,29.853,4133.4
264,5/14/2022 11:45,29.953,4477.8
265,5/14/2022 12:00,30.054,3616.7
266,5/14/2022 12:15,30.154,6544.5
267,5/14/2022 12:30,30.255,12400.1
268,5/14/2022 12:45,30.356,19289
269,5/14/2022 13:00,30.255,6544.5
270,5/14/2022 13:15,30.054,3961.1
271,5/14/2022 13:30,30.154,4650
